problem,solution
uf150-0100.cnf,sat
uf150-010.cnf,sat
uf150-011.cnf,sat
uf150-012.cnf,sat
uf150-013.cnf,sat
uf150-014.cnf,sat
uf150-015.cnf,sat
uf150-016.cnf,sat
uf150-017.cnf,sat
uf150-018.cnf,sat
uf150-019.cnf,sat
uf150-01.cnf,sat
uf150-020.cnf,sat
uf150-021.cnf,sat
uf150-022.cnf,sat
uf150-023.cnf,sat
uf150-024.cnf,sat
uf150-025.cnf,sat
uf150-026.cnf,sat
uf150-027.cnf,sat
uf150-028.cnf,sat
uf150-029.cnf,sat
uf150-02.cnf,sat
uf150-030.cnf,sat
uf150-031.cnf,sat
uf150-032.cnf,sat
uf150-033.cnf,sat
uf150-034.cnf,sat
uf150-035.cnf,sat
uf150-036.cnf,sat
uf150-037.cnf,sat
uf150-038.cnf,sat
uf150-039.cnf,sat
uf150-03.cnf,sat
uf150-040.cnf,sat
uf150-041.cnf,sat
uf150-042.cnf,sat
uf150-043.cnf,sat
uf150-044.cnf,sat
uf150-045.cnf,sat
uf150-046.cnf,sat
uf150-047.cnf,sat
uf150-048.cnf,sat
uf150-049.cnf,sat
uf150-04.cnf,sat
uf150-050.cnf,sat
uf150-051.cnf,sat
uf150-052.cnf,sat
uf150-053.cnf,sat
uf150-054.cnf,sat
uf150-055.cnf,sat
uf150-056.cnf,sat
uf150-057.cnf,sat
uf150-058.cnf,sat
uf150-059.cnf,sat
uf150-05.cnf,sat
uf150-060.cnf,sat
uf150-061.cnf,sat
uf150-062.cnf,sat
uf150-063.cnf,sat
uf150-064.cnf,sat
uf150-065.cnf,sat
uf150-066.cnf,sat
uf150-067.cnf,sat
uf150-068.cnf,sat
uf150-069.cnf,sat
uf150-06.cnf,sat
uf150-070.cnf,sat
uf150-071.cnf,sat
uf150-072.cnf,sat
uf150-073.cnf,sat
uf150-074.cnf,sat
uf150-075.cnf,sat
uf150-076.cnf,sat
uf150-077.cnf,sat
uf150-078.cnf,sat
uf150-079.cnf,sat
uf150-07.cnf,sat
uf150-080.cnf,sat
uf150-081.cnf,sat
uf150-082.cnf,sat
uf150-083.cnf,sat
uf150-084.cnf,sat
uf150-085.cnf,sat
uf150-086.cnf,sat
uf150-087.cnf,sat
uf150-088.cnf,sat
uf150-089.cnf,sat
uf150-08.cnf,sat
uf150-090.cnf,sat
uf150-091.cnf,sat
uf150-092.cnf,sat
uf150-093.cnf,sat
uf150-094.cnf,sat
uf150-095.cnf,sat
uf150-096.cnf,sat
uf150-097.cnf,sat
uf150-098.cnf,sat
uf150-099.cnf,sat
uf150-09.cnf,sat
