problem,solution
uuf125-0100.cnf,unsat
uuf125-010.cnf,unsat
uuf125-011.cnf,unsat
uuf125-012.cnf,unsat
uuf125-013.cnf,unsat
uuf125-014.cnf,unsat
uuf125-015.cnf,unsat
uuf125-016.cnf,unsat
uuf125-017.cnf,unsat
uuf125-018.cnf,unsat
uuf125-019.cnf,unsat
uuf125-01.cnf,unsat
uuf125-020.cnf,unsat
uuf125-021.cnf,unsat
uuf125-022.cnf,unsat
uuf125-023.cnf,unsat
uuf125-024.cnf,unsat
uuf125-025.cnf,unsat
uuf125-026.cnf,unsat
uuf125-027.cnf,unsat
uuf125-028.cnf,unsat
uuf125-029.cnf,unsat
uuf125-02.cnf,unsat
uuf125-030.cnf,unsat
uuf125-031.cnf,unsat
uuf125-032.cnf,unsat
uuf125-033.cnf,unsat
uuf125-034.cnf,unsat
uuf125-035.cnf,unsat
uuf125-036.cnf,unsat
uuf125-037.cnf,unsat
uuf125-038.cnf,unsat
uuf125-039.cnf,unsat
uuf125-03.cnf,unsat
uuf125-040.cnf,unsat
uuf125-041.cnf,unsat
uuf125-042.cnf,unsat
uuf125-043.cnf,unsat
uuf125-044.cnf,unsat
uuf125-045.cnf,unsat
uuf125-046.cnf,unsat
uuf125-047.cnf,unsat
uuf125-048.cnf,unsat
uuf125-049.cnf,unsat
uuf125-04.cnf,unsat
uuf125-050.cnf,unsat
uuf125-051.cnf,unsat
uuf125-052.cnf,unsat
uuf125-053.cnf,unsat
uuf125-054.cnf,unsat
uuf125-055.cnf,unsat
uuf125-056.cnf,unsat
uuf125-057.cnf,unsat
uuf125-058.cnf,unsat
uuf125-059.cnf,unsat
uuf125-05.cnf,unsat
uuf125-060.cnf,unsat
uuf125-061.cnf,unsat
uuf125-062.cnf,unsat
uuf125-063.cnf,unsat
uuf125-064.cnf,unsat
uuf125-065.cnf,unsat
uuf125-066.cnf,unsat
uuf125-067.cnf,unsat
uuf125-068.cnf,unsat
uuf125-069.cnf,unsat
uuf125-06.cnf,unsat
uuf125-070.cnf,unsat
uuf125-071.cnf,unsat
uuf125-072.cnf,unsat
uuf125-073.cnf,unsat
uuf125-074.cnf,unsat
uuf125-075.cnf,unsat
uuf125-076.cnf,unsat
uuf125-077.cnf,unsat
uuf125-078.cnf,unsat
uuf125-079.cnf,unsat
uuf125-07.cnf,unsat
uuf125-080.cnf,unsat
uuf125-081.cnf,unsat
uuf125-082.cnf,unsat
uuf125-083.cnf,unsat
uuf125-084.cnf,unsat
uuf125-085.cnf,unsat
uuf125-086.cnf,unsat
uuf125-087.cnf,unsat
uuf125-088.cnf,unsat
uuf125-089.cnf,unsat
uuf125-08.cnf,unsat
uuf125-090.cnf,unsat
uuf125-091.cnf,unsat
uuf125-092.cnf,unsat
uuf125-093.cnf,unsat
uuf125-094.cnf,unsat
uuf125-095.cnf,unsat
uuf125-096.cnf,unsat
uuf125-097.cnf,unsat
uuf125-098.cnf,unsat
uuf125-099.cnf,unsat
uuf125-09.cnf,unsat
