problem,solution
uuf50-01000.cnf,unsat
uuf50-0100.cnf,unsat
uuf50-0101.cnf,unsat
uuf50-0102.cnf,unsat
uuf50-0103.cnf,unsat
uuf50-0104.cnf,unsat
uuf50-0105.cnf,unsat
uuf50-0106.cnf,unsat
uuf50-0107.cnf,unsat
uuf50-0108.cnf,unsat
uuf50-0109.cnf,unsat
uuf50-010.cnf,unsat
uuf50-0110.cnf,unsat
uuf50-0111.cnf,unsat
uuf50-0112.cnf,unsat
uuf50-0113.cnf,unsat
uuf50-0114.cnf,unsat
uuf50-0115.cnf,unsat
uuf50-0116.cnf,unsat
uuf50-0117.cnf,unsat
uuf50-0118.cnf,unsat
uuf50-0119.cnf,unsat
uuf50-011.cnf,unsat
uuf50-0120.cnf,unsat
uuf50-0121.cnf,unsat
uuf50-0122.cnf,unsat
uuf50-0123.cnf,unsat
uuf50-0124.cnf,unsat
uuf50-0125.cnf,unsat
uuf50-0126.cnf,unsat
uuf50-0127.cnf,unsat
uuf50-0128.cnf,unsat
uuf50-0129.cnf,unsat
uuf50-012.cnf,unsat
uuf50-0130.cnf,unsat
uuf50-0131.cnf,unsat
uuf50-0132.cnf,unsat
uuf50-0133.cnf,unsat
uuf50-0134.cnf,unsat
uuf50-0135.cnf,unsat
uuf50-0136.cnf,unsat
uuf50-0137.cnf,unsat
uuf50-0138.cnf,unsat
uuf50-0139.cnf,unsat
uuf50-013.cnf,unsat
uuf50-0140.cnf,unsat
uuf50-0141.cnf,unsat
uuf50-0142.cnf,unsat
uuf50-0143.cnf,unsat
uuf50-0144.cnf,unsat
uuf50-0145.cnf,unsat
uuf50-0146.cnf,unsat
uuf50-0147.cnf,unsat
uuf50-0148.cnf,unsat
uuf50-0149.cnf,unsat
uuf50-014.cnf,unsat
uuf50-0150.cnf,unsat
uuf50-0151.cnf,unsat
uuf50-0152.cnf,unsat
uuf50-0153.cnf,unsat
uuf50-0154.cnf,unsat
uuf50-0155.cnf,unsat
uuf50-0156.cnf,unsat
uuf50-0157.cnf,unsat
uuf50-0158.cnf,unsat
uuf50-0159.cnf,unsat
uuf50-015.cnf,unsat
uuf50-0160.cnf,unsat
uuf50-0161.cnf,unsat
uuf50-0162.cnf,unsat
uuf50-0163.cnf,unsat
uuf50-0164.cnf,unsat
uuf50-0165.cnf,unsat
uuf50-0166.cnf,unsat
uuf50-0167.cnf,unsat
uuf50-0168.cnf,unsat
uuf50-0169.cnf,unsat
uuf50-016.cnf,unsat
uuf50-0170.cnf,unsat
uuf50-0171.cnf,unsat
uuf50-0172.cnf,unsat
uuf50-0173.cnf,unsat
uuf50-0174.cnf,unsat
uuf50-0175.cnf,unsat
uuf50-0176.cnf,unsat
uuf50-0177.cnf,unsat
uuf50-0178.cnf,unsat
uuf50-0179.cnf,unsat
uuf50-017.cnf,unsat
uuf50-0180.cnf,unsat
uuf50-0181.cnf,unsat
uuf50-0182.cnf,unsat
uuf50-0183.cnf,unsat
uuf50-0184.cnf,unsat
uuf50-0185.cnf,unsat
uuf50-0186.cnf,unsat
uuf50-0187.cnf,unsat
uuf50-0188.cnf,unsat
uuf50-0189.cnf,unsat
uuf50-018.cnf,unsat
uuf50-0190.cnf,unsat
uuf50-0191.cnf,unsat
uuf50-0192.cnf,unsat
uuf50-0193.cnf,unsat
uuf50-0194.cnf,unsat
uuf50-0195.cnf,unsat
uuf50-0196.cnf,unsat
uuf50-0197.cnf,unsat
uuf50-0198.cnf,unsat
uuf50-0199.cnf,unsat
uuf50-019.cnf,unsat
uuf50-01.cnf,unsat
uuf50-0200.cnf,unsat
uuf50-0201.cnf,unsat
uuf50-0202.cnf,unsat
uuf50-0203.cnf,unsat
uuf50-0204.cnf,unsat
uuf50-0205.cnf,unsat
uuf50-0206.cnf,unsat
uuf50-0207.cnf,unsat
uuf50-0208.cnf,unsat
uuf50-0209.cnf,unsat
uuf50-020.cnf,unsat
uuf50-0210.cnf,unsat
uuf50-0211.cnf,unsat
uuf50-0212.cnf,unsat
uuf50-0213.cnf,unsat
uuf50-0214.cnf,unsat
uuf50-0215.cnf,unsat
uuf50-0216.cnf,unsat
uuf50-0217.cnf,unsat
uuf50-0218.cnf,unsat
uuf50-0219.cnf,unsat
uuf50-021.cnf,unsat
uuf50-0220.cnf,unsat
uuf50-0221.cnf,unsat
uuf50-0222.cnf,unsat
uuf50-0223.cnf,unsat
uuf50-0224.cnf,unsat
uuf50-0225.cnf,unsat
uuf50-0226.cnf,unsat
uuf50-0227.cnf,unsat
uuf50-0228.cnf,unsat
uuf50-0229.cnf,unsat
uuf50-022.cnf,unsat
uuf50-0230.cnf,unsat
uuf50-0231.cnf,unsat
uuf50-0232.cnf,unsat
uuf50-0233.cnf,unsat
uuf50-0234.cnf,unsat
uuf50-0235.cnf,unsat
uuf50-0236.cnf,unsat
uuf50-0237.cnf,unsat
uuf50-0238.cnf,unsat
uuf50-0239.cnf,unsat
uuf50-023.cnf,unsat
uuf50-0240.cnf,unsat
uuf50-0241.cnf,unsat
uuf50-0242.cnf,unsat
uuf50-0243.cnf,unsat
uuf50-0244.cnf,unsat
uuf50-0245.cnf,unsat
uuf50-0246.cnf,unsat
uuf50-0247.cnf,unsat
uuf50-0248.cnf,unsat
uuf50-0249.cnf,unsat
uuf50-024.cnf,unsat
uuf50-0250.cnf,unsat
uuf50-0251.cnf,unsat
uuf50-0252.cnf,unsat
