problem,solution
uf50-01000.cnf,sat
uf50-0100.cnf,sat
uf50-0101.cnf,sat
uf50-0102.cnf,sat
uf50-0103.cnf,sat
uf50-0104.cnf,sat
uf50-0105.cnf,sat
uf50-0106.cnf,sat
uf50-0107.cnf,sat
uf50-0108.cnf,sat
uf50-0109.cnf,sat
uf50-010.cnf,sat
uf50-0110.cnf,sat
uf50-0111.cnf,sat
uf50-0112.cnf,sat
uf50-0113.cnf,sat
uf50-0114.cnf,sat
uf50-0115.cnf,sat
uf50-0116.cnf,sat
uf50-0117.cnf,sat
uf50-0118.cnf,sat
uf50-0119.cnf,sat
uf50-011.cnf,sat
uf50-0120.cnf,sat
uf50-0121.cnf,sat
uf50-0122.cnf,sat
uf50-0123.cnf,sat
uf50-0124.cnf,sat
uf50-0125.cnf,sat
uf50-0126.cnf,sat
uf50-0127.cnf,sat
uf50-0128.cnf,sat
uf50-0129.cnf,sat
uf50-012.cnf,sat
uf50-0130.cnf,sat
uf50-0131.cnf,sat
uf50-0132.cnf,sat
uf50-0133.cnf,sat
uf50-0134.cnf,sat
uf50-0135.cnf,sat
uf50-0136.cnf,sat
uf50-0137.cnf,sat
uf50-0138.cnf,sat
uf50-0139.cnf,sat
uf50-013.cnf,sat
uf50-0140.cnf,sat
uf50-0141.cnf,sat
uf50-0142.cnf,sat
uf50-0143.cnf,sat
uf50-0144.cnf,sat
uf50-0145.cnf,sat
uf50-0146.cnf,sat
uf50-0147.cnf,sat
uf50-0148.cnf,sat
uf50-0149.cnf,sat
uf50-014.cnf,sat
uf50-0150.cnf,sat
uf50-0151.cnf,sat
uf50-0152.cnf,sat
uf50-0153.cnf,sat
uf50-0154.cnf,sat
uf50-0155.cnf,sat
uf50-0156.cnf,sat
uf50-0157.cnf,sat
uf50-0158.cnf,sat
uf50-0159.cnf,sat
uf50-015.cnf,sat
uf50-0160.cnf,sat
uf50-0161.cnf,sat
uf50-0162.cnf,sat
uf50-0163.cnf,sat
uf50-0164.cnf,sat
uf50-0165.cnf,sat
uf50-0166.cnf,sat
uf50-0167.cnf,sat
uf50-0168.cnf,sat
uf50-0169.cnf,sat
uf50-016.cnf,sat
uf50-0170.cnf,sat
uf50-0171.cnf,sat
uf50-0172.cnf,sat
uf50-0173.cnf,sat
uf50-0174.cnf,sat
uf50-0175.cnf,sat
uf50-0176.cnf,sat
uf50-0177.cnf,sat
uf50-0178.cnf,sat
uf50-0179.cnf,sat
uf50-017.cnf,sat
uf50-0180.cnf,sat
uf50-0181.cnf,sat
uf50-0182.cnf,sat
uf50-0183.cnf,sat
uf50-0184.cnf,sat
uf50-0185.cnf,sat
uf50-0186.cnf,sat
uf50-0187.cnf,sat
uf50-0188.cnf,sat
uf50-0189.cnf,sat
uf50-018.cnf,sat
uf50-0190.cnf,sat
uf50-0191.cnf,sat
uf50-0192.cnf,sat
uf50-0193.cnf,sat
uf50-0194.cnf,sat
uf50-0195.cnf,sat
uf50-0196.cnf,sat
uf50-0197.cnf,sat
uf50-0198.cnf,sat
uf50-0199.cnf,sat
uf50-019.cnf,sat
uf50-01.cnf,sat
uf50-0200.cnf,sat
uf50-0201.cnf,sat
uf50-0202.cnf,sat
uf50-0203.cnf,sat
uf50-0204.cnf,sat
uf50-0205.cnf,sat
uf50-0206.cnf,sat
uf50-0207.cnf,sat
uf50-0208.cnf,sat
uf50-0209.cnf,sat
uf50-020.cnf,sat
uf50-0210.cnf,sat
uf50-0211.cnf,sat
uf50-0212.cnf,sat
uf50-0213.cnf,sat
uf50-0214.cnf,sat
uf50-0215.cnf,sat
uf50-0216.cnf,sat
uf50-0217.cnf,sat
uf50-0218.cnf,sat
uf50-0219.cnf,sat
uf50-021.cnf,sat
uf50-0220.cnf,sat
uf50-0221.cnf,sat
uf50-0222.cnf,sat
uf50-0223.cnf,sat
uf50-0224.cnf,sat
uf50-0225.cnf,sat
uf50-0226.cnf,sat
uf50-0227.cnf,sat
uf50-0228.cnf,sat
uf50-0229.cnf,sat
uf50-022.cnf,sat
uf50-0230.cnf,sat
uf50-0231.cnf,sat
uf50-0232.cnf,sat
uf50-0233.cnf,sat
uf50-0234.cnf,sat
uf50-0235.cnf,sat
uf50-0236.cnf,sat
uf50-0237.cnf,sat
uf50-0238.cnf,sat
uf50-0239.cnf,sat
uf50-023.cnf,sat
uf50-0240.cnf,sat
uf50-0241.cnf,sat
uf50-0242.cnf,sat
uf50-0243.cnf,sat
uf50-0244.cnf,sat
uf50-0245.cnf,sat
uf50-0246.cnf,sat
uf50-0247.cnf,sat
uf50-0248.cnf,sat
uf50-0249.cnf,sat
uf50-024.cnf,sat
uf50-0250.cnf,sat
uf50-0251.cnf,sat
uf50-0252.cnf,sat
uf50-0253.cnf,sat
uf50-0254.cnf,sat
uf50-0255.cnf,sat
uf50-0256.cnf,sat
uf50-0257.cnf,sat
uf50-0258.cnf,sat
uf50-0259.cnf,sat
uf50-025.cnf,sat
uf50-0260.cnf,sat
uf50-0261.cnf,sat
uf50-0262.cnf,sat
uf50-0263.cnf,sat
uf50-0264.cnf,sat
uf50-0265.cnf,sat
uf50-0266.cnf,sat
uf50-0267.cnf,sat
uf50-0268.cnf,sat
uf50-0269.cnf,sat
uf50-026.cnf,sat
uf50-0270.cnf,sat
uf50-0271.cnf,sat
uf50-0272.cnf,sat
uf50-0273.cnf,sat
uf50-0274.cnf,sat
uf50-0275.cnf,sat
uf50-0276.cnf,sat
uf50-0277.cnf,sat
uf50-0278.cnf,sat
uf50-0279.cnf,sat
uf50-027.cnf,sat
uf50-0280.cnf,sat
uf50-0281.cnf,sat
uf50-0282.cnf,sat
uf50-0283.cnf,sat
uf50-0284.cnf,sat
uf50-0285.cnf,sat
uf50-0286.cnf,sat
uf50-0287.cnf,sat
uf50-0288.cnf,sat
uf50-0289.cnf,sat
uf50-028.cnf,sat
uf50-0290.cnf,sat
uf50-0291.cnf,sat
uf50-0292.cnf,sat
uf50-0293.cnf,sat
uf50-0294.cnf,sat
uf50-0295.cnf,sat
uf50-0296.cnf,sat
uf50-0297.cnf,sat
uf50-0298.cnf,sat
uf50-0299.cnf,sat
uf50-029.cnf,sat
uf50-02.cnf,sat
uf50-0300.cnf,sat
uf50-0301.cnf,sat
uf50-0302.cnf,sat
uf50-0303.cnf,sat
uf50-0304.cnf,sat
uf50-0305.cnf,sat
uf50-0306.cnf,sat
uf50-0307.cnf,sat
uf50-0308.cnf,sat
uf50-0309.cnf,sat
uf50-030.cnf,sat
uf50-0310.cnf,sat
uf50-0311.cnf,sat
uf50-0312.cnf,sat
uf50-0313.cnf,sat
uf50-0314.cnf,sat
uf50-0315.cnf,sat
uf50-0316.cnf,sat
uf50-0317.cnf,sat
uf50-0318.cnf,sat
uf50-0319.cnf,sat
uf50-031.cnf,sat
uf50-0320.cnf,sat
uf50-0321.cnf,sat
uf50-0322.cnf,sat
uf50-0323.cnf,sat
uf50-0324.cnf,sat
uf50-0325.cnf,sat
uf50-0326.cnf,sat
uf50-0327.cnf,sat
uf50-0328.cnf,sat
uf50-0329.cnf,sat
uf50-032.cnf,sat
uf50-0330.cnf,sat
uf50-0331.cnf,sat
uf50-0332.cnf,sat
uf50-0333.cnf,sat
uf50-0334.cnf,sat
uf50-0335.cnf,sat
uf50-0336.cnf,sat
uf50-0337.cnf,sat
uf50-0338.cnf,sat
uf50-0339.cnf,sat
uf50-033.cnf,sat
uf50-0340.cnf,sat
uf50-0341.cnf,sat
uf50-0342.cnf,sat
uf50-0343.cnf,sat
uf50-0344.cnf,sat
uf50-0345.cnf,sat
uf50-0346.cnf,sat
uf50-0347.cnf,sat
uf50-0348.cnf,sat
uf50-0349.cnf,sat
uf50-034.cnf,sat
