problem,solution
uuf175-0100.cnf,unsat
uuf175-010.cnf,unsat
uuf175-011.cnf,unsat
uuf175-012.cnf,unsat
uuf175-013.cnf,unsat
uuf175-014.cnf,unsat
uuf175-015.cnf,unsat
uuf175-016.cnf,unsat
uuf175-017.cnf,unsat
uuf175-018.cnf,unsat
uuf175-019.cnf,unsat
uuf175-01.cnf,unsat
uuf175-020.cnf,unsat
uuf175-021.cnf,unsat
uuf175-022.cnf,unsat
uuf175-023.cnf,unsat
uuf175-024.cnf,unsat
uuf175-025.cnf,unsat
uuf175-026.cnf,unsat
uuf175-027.cnf,unsat
uuf175-028.cnf,unsat
uuf175-029.cnf,unsat
uuf175-02.cnf,unsat
uuf175-030.cnf,unsat
uuf175-031.cnf,unsat
uuf175-032.cnf,unsat
uuf175-033.cnf,unsat
uuf175-034.cnf,unsat
uuf175-035.cnf,unsat
uuf175-036.cnf,unsat
uuf175-037.cnf,unsat
uuf175-038.cnf,unsat
uuf175-039.cnf,unsat
uuf175-03.cnf,unsat
uuf175-040.cnf,unsat
uuf175-041.cnf,unsat
uuf175-042.cnf,unsat
uuf175-043.cnf,unsat
uuf175-044.cnf,unsat
uuf175-045.cnf,unsat
uuf175-046.cnf,unsat
uuf175-047.cnf,unsat
uuf175-048.cnf,unsat
uuf175-049.cnf,unsat
uuf175-04.cnf,unsat
uuf175-050.cnf,unsat
uuf175-051.cnf,unsat
uuf175-052.cnf,unsat
uuf175-053.cnf,unsat
uuf175-054.cnf,unsat
uuf175-055.cnf,unsat
uuf175-056.cnf,unsat
uuf175-057.cnf,unsat
uuf175-058.cnf,unsat
uuf175-059.cnf,unsat
uuf175-05.cnf,unsat
uuf175-060.cnf,unsat
uuf175-061.cnf,unsat
uuf175-062.cnf,unsat
uuf175-063.cnf,unsat
uuf175-064.cnf,unsat
uuf175-065.cnf,unsat
uuf175-066.cnf,unsat
uuf175-067.cnf,unsat
uuf175-068.cnf,unsat
uuf175-069.cnf,unsat
uuf175-06.cnf,unsat
uuf175-070.cnf,unsat
uuf175-071.cnf,unsat
uuf175-072.cnf,unsat
uuf175-073.cnf,unsat
uuf175-074.cnf,unsat
uuf175-075.cnf,unsat
uuf175-076.cnf,unsat
uuf175-077.cnf,unsat
uuf175-078.cnf,unsat
uuf175-079.cnf,unsat
uuf175-07.cnf,unsat
uuf175-080.cnf,unsat
uuf175-081.cnf,unsat
uuf175-082.cnf,unsat
uuf175-083.cnf,unsat
uuf175-084.cnf,unsat
uuf175-085.cnf,unsat
uuf175-086.cnf,unsat
uuf175-087.cnf,unsat
uuf175-088.cnf,unsat
uuf175-089.cnf,unsat
uuf175-08.cnf,unsat
uuf175-090.cnf,unsat
uuf175-091.cnf,unsat
uuf175-092.cnf,unsat
uuf175-093.cnf,unsat
uuf175-094.cnf,unsat
uuf175-095.cnf,unsat
uuf175-096.cnf,unsat
uuf175-097.cnf,unsat
uuf175-098.cnf,unsat
uuf175-099.cnf,unsat
uuf175-09.cnf,unsat
