problem,solution
uf250-0100.cnf,sat
uf250-010.cnf,sat
uf250-011.cnf,sat
uf250-012.cnf,sat
uf250-013.cnf,sat
uf250-014.cnf,sat
uf250-015.cnf,sat
uf250-016.cnf,sat
uf250-017.cnf,sat
uf250-018.cnf,sat
uf250-019.cnf,sat
uf250-01.cnf,sat
uf250-020.cnf,sat
uf250-021.cnf,sat
uf250-022.cnf,sat
uf250-023.cnf,sat
uf250-024.cnf,sat
uf250-025.cnf,sat
uf250-026.cnf,sat
uf250-027.cnf,sat
uf250-028.cnf,sat
uf250-029.cnf,sat
uf250-02.cnf,sat
uf250-030.cnf,sat
uf250-031.cnf,sat
uf250-032.cnf,sat
uf250-033.cnf,sat
uf250-034.cnf,sat
uf250-035.cnf,sat
uf250-036.cnf,sat
uf250-037.cnf,sat
uf250-038.cnf,sat
uf250-039.cnf,sat
uf250-03.cnf,sat
uf250-040.cnf,sat
uf250-041.cnf,sat
uf250-042.cnf,sat
uf250-043.cnf,sat
uf250-044.cnf,sat
uf250-045.cnf,sat
uf250-046.cnf,sat
uf250-047.cnf,sat
uf250-048.cnf,sat
uf250-049.cnf,sat
uf250-04.cnf,sat
uf250-050.cnf,sat
uf250-051.cnf,sat
uf250-052.cnf,sat
uf250-053.cnf,sat
uf250-054.cnf,sat
uf250-055.cnf,sat
uf250-056.cnf,sat
uf250-057.cnf,sat
uf250-058.cnf,sat
uf250-059.cnf,sat
uf250-05.cnf,sat
uf250-060.cnf,sat
uf250-061.cnf,sat
uf250-062.cnf,sat
uf250-063.cnf,sat
uf250-064.cnf,sat
uf250-065.cnf,sat
uf250-066.cnf,sat
uf250-067.cnf,sat
uf250-068.cnf,sat
uf250-069.cnf,sat
uf250-06.cnf,sat
uf250-070.cnf,sat
uf250-071.cnf,sat
uf250-072.cnf,sat
uf250-073.cnf,sat
uf250-074.cnf,sat
uf250-075.cnf,sat
uf250-076.cnf,sat
uf250-077.cnf,sat
uf250-078.cnf,sat
uf250-079.cnf,sat
uf250-07.cnf,sat
uf250-080.cnf,sat
uf250-081.cnf,sat
uf250-082.cnf,sat
uf250-083.cnf,sat
uf250-084.cnf,sat
uf250-085.cnf,sat
uf250-086.cnf,sat
uf250-087.cnf,sat
uf250-088.cnf,sat
uf250-089.cnf,sat
uf250-08.cnf,sat
uf250-090.cnf,sat
uf250-091.cnf,sat
uf250-092.cnf,sat
uf250-093.cnf,sat
uf250-094.cnf,sat
uf250-095.cnf,sat
uf250-096.cnf,sat
uf250-097.cnf,sat
uf250-098.cnf,sat
uf250-099.cnf,sat
uf250-09.cnf,sat
