problem,solution
uuf200-010.cnf,unsat
uuf200-011.cnf,unsat
uuf200-012.cnf,unsat
uuf200-013.cnf,unsat
uuf200-014.cnf,unsat
uuf200-015.cnf,unsat
uuf200-016.cnf,unsat
uuf200-017.cnf,unsat
uuf200-018.cnf,unsat
uuf200-019.cnf,unsat
uuf200-01.cnf,unsat
uuf200-020.cnf,unsat
uuf200-021.cnf,unsat
uuf200-022.cnf,unsat
uuf200-023.cnf,unsat
uuf200-024.cnf,unsat
uuf200-025.cnf,unsat
uuf200-026.cnf,unsat
uuf200-027.cnf,unsat
uuf200-028.cnf,unsat
uuf200-029.cnf,unsat
uuf200-02.cnf,unsat
uuf200-030.cnf,unsat
uuf200-031.cnf,unsat
uuf200-032.cnf,unsat
uuf200-033.cnf,unsat
uuf200-034.cnf,unsat
uuf200-035.cnf,unsat
uuf200-036.cnf,unsat
uuf200-037.cnf,unsat
uuf200-038.cnf,unsat
uuf200-039.cnf,unsat
uuf200-03.cnf,unsat
uuf200-040.cnf,unsat
uuf200-041.cnf,unsat
uuf200-042.cnf,unsat
uuf200-043.cnf,unsat
uuf200-044.cnf,unsat
uuf200-045.cnf,unsat
uuf200-046.cnf,unsat
uuf200-047.cnf,unsat
uuf200-048.cnf,unsat
uuf200-049.cnf,unsat
uuf200-04.cnf,unsat
uuf200-050.cnf,unsat
uuf200-051.cnf,unsat
uuf200-052.cnf,unsat
uuf200-053.cnf,unsat
uuf200-054.cnf,unsat
uuf200-055.cnf,unsat
uuf200-056.cnf,unsat
uuf200-057.cnf,unsat
uuf200-058.cnf,unsat
uuf200-059.cnf,unsat
uuf200-05.cnf,unsat
uuf200-060.cnf,unsat
uuf200-061.cnf,unsat
uuf200-062.cnf,unsat
uuf200-063.cnf,unsat
uuf200-064.cnf,unsat
uuf200-065.cnf,unsat
uuf200-066.cnf,unsat
uuf200-067.cnf,unsat
uuf200-068.cnf,unsat
uuf200-069.cnf,unsat
uuf200-06.cnf,unsat
uuf200-070.cnf,unsat
uuf200-071.cnf,unsat
uuf200-072.cnf,unsat
uuf200-073.cnf,unsat
uuf200-074.cnf,unsat
uuf200-075.cnf,unsat
uuf200-076.cnf,unsat
uuf200-077.cnf,unsat
uuf200-078.cnf,unsat
uuf200-079.cnf,unsat
uuf200-07.cnf,unsat
uuf200-080.cnf,unsat
uuf200-081.cnf,unsat
uuf200-082.cnf,unsat
uuf200-083.cnf,unsat
uuf200-084.cnf,unsat
uuf200-085.cnf,unsat
uuf200-086.cnf,unsat
uuf200-087.cnf,unsat
uuf200-088.cnf,unsat
uuf200-089.cnf,unsat
uuf200-08.cnf,unsat
uuf200-090.cnf,unsat
uuf200-091.cnf,unsat
uuf200-092.cnf,unsat
uuf200-093.cnf,unsat
uuf200-094.cnf,unsat
uuf200-095.cnf,unsat
uuf200-096.cnf,unsat
uuf200-097.cnf,unsat
uuf200-098.cnf,unsat
uuf200-099.cnf,unsat
uuf200-09.cnf,unsat
