problem,solution
uf75-0100.cnf,sat
uf75-010.cnf,sat
uf75-011.cnf,sat
uf75-012.cnf,sat
uf75-013.cnf,sat
uf75-014.cnf,sat
uf75-015.cnf,sat
uf75-016.cnf,sat
uf75-017.cnf,sat
uf75-018.cnf,sat
uf75-019.cnf,sat
uf75-01.cnf,sat
uf75-020.cnf,sat
uf75-021.cnf,sat
uf75-022.cnf,sat
uf75-023.cnf,sat
uf75-024.cnf,sat
uf75-025.cnf,sat
uf75-026.cnf,sat
uf75-027.cnf,sat
uf75-028.cnf,sat
uf75-029.cnf,sat
uf75-02.cnf,sat
uf75-030.cnf,sat
uf75-031.cnf,sat
uf75-032.cnf,sat
uf75-033.cnf,sat
uf75-034.cnf,sat
uf75-035.cnf,sat
uf75-036.cnf,sat
uf75-037.cnf,sat
uf75-038.cnf,sat
uf75-039.cnf,sat
uf75-03.cnf,sat
uf75-040.cnf,sat
uf75-041.cnf,sat
uf75-042.cnf,sat
uf75-043.cnf,sat
uf75-044.cnf,sat
uf75-045.cnf,sat
uf75-046.cnf,sat
uf75-047.cnf,sat
uf75-048.cnf,sat
uf75-049.cnf,sat
uf75-04.cnf,sat
uf75-050.cnf,sat
uf75-051.cnf,sat
uf75-052.cnf,sat
uf75-053.cnf,sat
uf75-054.cnf,sat
uf75-055.cnf,sat
uf75-056.cnf,sat
uf75-057.cnf,sat
uf75-058.cnf,sat
uf75-059.cnf,sat
uf75-05.cnf,sat
uf75-060.cnf,sat
uf75-061.cnf,sat
uf75-062.cnf,sat
uf75-063.cnf,sat
uf75-064.cnf,sat
uf75-065.cnf,sat
uf75-066.cnf,sat
uf75-067.cnf,sat
uf75-068.cnf,sat
uf75-069.cnf,sat
uf75-06.cnf,sat
uf75-070.cnf,sat
uf75-071.cnf,sat
uf75-072.cnf,sat
uf75-073.cnf,sat
uf75-074.cnf,sat
uf75-075.cnf,sat
uf75-076.cnf,sat
uf75-077.cnf,sat
uf75-078.cnf,sat
uf75-079.cnf,sat
uf75-07.cnf,sat
uf75-080.cnf,sat
uf75-081.cnf,sat
uf75-082.cnf,sat
uf75-083.cnf,sat
uf75-084.cnf,sat
uf75-085.cnf,sat
uf75-086.cnf,sat
uf75-087.cnf,sat
uf75-088.cnf,sat
uf75-089.cnf,sat
uf75-08.cnf,sat
uf75-090.cnf,sat
uf75-091.cnf,sat
uf75-092.cnf,sat
uf75-093.cnf,sat
uf75-094.cnf,sat
uf75-095.cnf,sat
uf75-096.cnf,sat
uf75-097.cnf,sat
uf75-098.cnf,sat
uf75-099.cnf,sat
uf75-09.cnf,sat
